episode,avg_reward,avg_loss,avg_td_error,capital,sma_reward
52.0,-112.85714285714286,3.6877418813251315,-51.821463448660715,0.0,-124.28571428571429
53.0,-136.42857142857142,4.188340016773769,-81.22687058221726,0.0,-125.21428571428571
54.0,-133.57142857142858,3.6446424211774553,-70.50435965401786,0.0,-125.78571428571429
55.0,-97.14285714285714,3.1922138304937455,-45.82699439639137,0.0,-122.57142857142858
56.0,-106.42857142857143,4.323038350968134,-78.55343773251488,0.0,-121.14285714285714
57.0,-120.71428571428571,4.00581245195298,-76.22571382068452,0.0,-120.5
58.0,-125.71428571428571,3.3380954833257768,-79.67294456845238,0.0,-120.14285714285715
59.0,-120.0,3.9621619269961403,-106.0829845610119,0.0,-119.92857142857142
60.0,-114.28571428571429,3.237616697947184,-63.467157273065474,0.0,-118.42857142857142
61.0,-114.28571428571429,3.9466762315659296,-88.59603445870536,0.0,-118.14285714285714
62.0,-129.28571428571428,4.057529074805124,-84.74384998139881,0.0,-119.78571428571429
63.0,-93.57142857142857,3.122853574298677,-55.453880673363095,0.0,-115.5
64.0,-118.57142857142857,4.7878287973858065,-84.31985328311012,0.0,-114.0
65.0,-124.28571428571429,4.047097966784523,-71.79950823102679,0.0,-116.71428571428571
66.0,-126.42857142857143,4.113821495146978,-116.96322777157738,0.0,-118.71428571428574
67.0,-122.85714285714286,3.6595030512128557,-97.32498023623512,0.0,-118.92857142857142
68.0,-126.42857142857143,3.288104738507952,-95.11632719494048,0.0,-119.0
69.0,-114.28571428571429,4.244304339090983,-136.34441266741072,0.0,-118.42857142857142
70.0,-122.85714285714286,3.104858773095267,-103.25211588541667,0.0,-119.28571428571429
71.0,-121.42857142857143,3.487003871372768,-112.8762439546131,0.0,-120.00000000000003
72.0,-120.71428571428571,3.8872597898755754,-127.55409458705357,0.0,-119.14285714285714
73.0,-110.71428571428571,4.089876901535761,-138.05543154761904,0.0,-120.85714285714286
74.0,-112.85714285714286,3.9565881888071694,-119.18570963541667,0.0,-120.28571428571429
75.0,-109.28571428571429,3.6942331223260787,-118.00599888392857,0.0,-118.78571428571429
76.0,-125.71428571428571,4.694928918566022,-132.42175874255952,0.0,-118.71428571428571
77.0,-118.57142857142857,3.818174123764038,-95.94605654761905,0.0,-118.28571428571426
78.0,-121.42857142857143,2.668388593764532,-75.45230538504464,0.0,-117.78571428571429
79.0,-118.57142857142857,3.370669975167229,-100.01190476190476,0.0,-118.21428571428571
